persona_id,nationality,gender,age,budget,companion,purpose,heritage_site,country,duration,profile
P01,中国,女,25,中等,独自,专业学习,北京故宫博物院,中国,半天,25岁中国女性，艺术史研究生，独自前往北京故宫研究中国古代书画，专业基础较好
P02,美国,男,40,经济型,家庭带小孩,亲子教育,西安秦始皇兵马俑博物馆,中国,半天,40岁美国男性，带8岁和12岁孩子参观兵马俑，预算有限，希望有趣且适合孩子理解
P03,印度,男,30,豪华,独自,文化探索,法国巴黎卢浮宫,法国,2小时,30岁印度男性，商务出差，独自参观卢浮宫，预算充足，时间有限，偏好精华路线
P04,中国,男,35,中等,情侣,休闲度假,柬埔寨吴哥窟,柬埔寨,一天,35岁中国男性，与情侣前往吴哥窟，预算中等，希望浪漫且有文化深度的体验
P05,美国,女,28,经济型,独自,历史探索,意大利庞贝古城,意大利,一天,28岁美国女性，历史爱好者，独自游览庞贝古城，预算有限，偏好真实故事
P06,印度,女,45,中等,家庭带小孩,文化朝圣,印度泰姬陵,印度,半天,45岁印度女性，带家庭探访泰姬陵，重视宗教与情感层面，预算中等
P07,中国,男,32,中等,独自,文化反思,英国伦敦大英博物馆,英国,2小时,32岁中国男性，独自参观大英博物馆，关注中国流失文物与殖民历史议题
P08,美国,女,26,中等,独自,文化体验,日本京都清水寺,日本,半天,26岁美国女性，日本文化爱好者，独自游览京都清水寺，希望了解佛教与日式美学
P09,印度,男,38,豪华,情侣,文化探索,意大利罗马斗兽场,意大利,半天,38岁印度男性，与情侣前往罗马斗兽场，预算豪华，希望高端且有深度的体验
P10,中国,女,29,经济型,家庭带小孩,亲子教育,中国敦煌莫高窟,中国,一天,29岁中国女性，带5岁孩子游览敦煌莫高窟，预算有限，希望寓教于乐
P11,美国,男,50,中等,情侣,退休旅行,埃及吉萨金字塔群,埃及,一天,50岁美国男性，与妻子退休旅行至埃及金字塔，预算中等，偏好历史与神秘氛围
P12,印度,女,33,经济型,独自,户外探险,秘鲁马丘比丘,秘鲁,一天,33岁印度女性，徒步爱好者，独自前往马丘比丘，预算有限，关注自然与文明融合
P13,日本,女,60,豪华,老年团,文化朝圣,希腊雅典卫城,希腊,一天,60岁日本女性，随老年文化团参观雅典卫城，预算充足，行动较慢，偏好从容深度
P14,德国,男,22,经济型,朋友结伴,背包旅行,土耳其以弗所古城,土耳其,半天,22岁德国男性，背包客，与朋友结伴游以弗所，预算紧张，偏好轻松有趣的年轻化表达
P15,巴西,女,41,中等,无障碍需求,文化体验,西班牙格拉纳达阿尔罕布拉宫,西班牙,半天,41岁巴西女性，坐轮椅出行，参观阿尔罕布拉宫，预算中等，重视无障碍与包容性叙事
P16,中国,男,19,经济型,独自,研学考察,中国西安大明宫遗址,中国,一天,19岁中国男性，历史系本科生，独自研学大明宫遗址，预算有限，需要一定学术引用
P17,英国,女,37,豪华,情侣,蜜月旅行,墨西哥奇琴伊察,墨西哥,一天,37岁英国女性，与伴侣蜜月旅行至奇琴伊察，预算豪华，偏好浪漫且尊重原住民文化
P18,韩国,男,48,中等,家庭三代,家庭出游,俄罗斯圣彼得堡冬宫,俄罗斯,一天,48岁韩国男性，带父母与孩子三代同游冬宫，预算中等，需兼顾老人与儿童不同需求
P19,澳大利亚,女,31,中等,独自,可持续旅行,约旦佩特拉古城,约旦,一天,31岁澳大利亚女性，关注可持续与负责任旅游，独自游佩特拉，重视生态与社区伦理
P20,埃及,男,55,经济型,独自,本地寻根,中国长城（八达岭）,中国,半天,55岁埃及男性，首次访华，独自登长城，预算有限，希望跨文化视角理解中国历史
